Date,Time,Open,High,Low,Close,Volume
2014.11.05,0:00,1168.45,1169.61,1137.59,1140.27,137209
2014.11.06,0:00,1141.26,1149.43,1138.01,1141.59,108842
2014.11.07,0:00,1141.13,1177.19,1130.1,1175.07,163436
2014.11.10,0:00,1176.55,1177.11,1147.22,1151.09,139704
2014.11.11,0:00,1152.21,1173.13,1146,1164.01,146816
2014.11.12,0:00,1164.84,1169.96,1157.19,1162.34,135050
2014.11.13,0:00,1161.94,1167.9,1153.79,1162.17,107156
2014.11.14,0:00,1162.68,1193.46,1146.75,1190.7,162341
2014.11.17,0:00,1185.96,1194.11,1181.32,1186.34,127983
2014.11.18,0:00,1186.37,1204.54,1183.3,1196.72,98021
2014.11.19,0:00,1195.88,1202.1,1174.97,1182.37,160257
2014.11.20,0:00,1183.87,1197.03,1176.69,1193.48,136202
2014.11.21,0:00,1193.64,1207.68,1186.66,1200.73,123792
2014.11.24,0:00,1200.63,1204.15,1192.66,1196.76,63600
2014.11.25,0:00,1198.17,1202.86,1190.31,1200.6,101389
2014.11.26,0:00,1201.16,1201.68,1194.86,1197.58,59426
2014.11.27,0:00,1197.56,1199.54,1185.54,1191.43,64121
2014.11.28,0:00,1189.83,1190.73,1165.09,1166.45,106411
2014.12.01,0:00,1158.8,1221.13,1142.65,1211.66,235162
2014.12.02,0:00,1211.92,1212.79,1191.81,1198.02,128332
2014.12.03,0:00,1197.26,1214.88,1194.44,1209.1,98948
2014.12.04,0:00,1208,1213.21,1201.15,1204.96,120109
2014.12.05,0:00,1205.61,1207.45,1185.93,1191.02,110422
2014.12.08,0:00,1190.01,1208.83,1187.02,1203.2,81789
2014.12.09,0:00,1202.89,1238.13,1199.26,1230.79,157249
2014.12.10,0:00,1231.03,1238.11,1224.52,1226.05,146421
2014.12.11,0:00,1225.24,1232.6,1215.76,1227.78,148342
2014.12.12,0:00,1227.78,1227.97,1214.18,1221.48,139480
2014.12.15,0:00,1222.28,1224.02,1190.57,1192.86,144396
2014.12.16,0:00,1194.23,1223.35,1187.25,1196.81,186458
2014.12.17,0:00,1195,1202.82,1183.5,1189.05,170326
2014.12.18,0:00,1189.01,1213.71,1188.19,1198.02,114101
2014.12.19,0:00,1197.98,1201.25,1193.81,1195.09,73904
2014.12.22,0:00,1193.98,1203.35,1170.59,1175.35,86148
2014.12.23,0:00,1175.49,1184.73,1172.5,1176.2,67566
2014.12.24,0:00,1176.44,1181.01,1172.66,1173.81,28617
2014.12.26,0:00,1184.7,1198.91,1184.65,1195.14,39118
2014.12.29,0:00,1194.32,1197.31,1178.68,1182.97,73688
2014.12.30,0:00,1182.77,1210.51,1180.57,1200.02,106578
2014.12.31,0:00,1199.66,1203.67,1181.33,1182.46,58687
