Date,Time,Open,High,Low,Close,Volume,
2014.05.05,0:00,1.38711,1.3885,1.38634,1.38733,57754,
2014.05.06,0:00,1.38746,1.39503,1.3871,1.39236,96900,
2014.05.07,0:00,1.39236,1.39375,1.39085,1.39103,87613,
2014.05.08,0:00,1.39102,1.39926,1.38319,1.38383,162474,
2014.05.09,0:00,1.38384,1.38433,1.37436,1.37576,109096,
2014.05.12,0:00,1.37564,1.37738,1.37483,1.37573,63141,
2014.05.13,0:00,1.37573,1.37704,1.36879,1.37025,130824,
2014.05.14,0:00,1.37028,1.37297,1.36969,1.37133,101921,
2014.05.15,0:00,1.37132,1.37314,1.36472,1.37092,150021,
2014.05.16,0:00,1.37092,1.37258,1.36843,1.36954,85822,
2014.05.19,0:00,1.36966,1.37331,1.36942,1.37078,88972,
2014.05.20,0:00,1.37078,1.37127,1.36768,1.3698,77216,
2014.05.21,0:00,1.36984,1.37224,1.36332,1.36849,110317,
2014.05.22,0:00,1.36846,1.36868,1.36442,1.3655,96612,
2014.05.23,0:00,1.36548,1.36554,1.36146,1.36261,83898,
2014.05.26,0:00,1.36236,1.36533,1.36144,1.36433,45692,
2014.05.27,0:00,1.36435,1.36675,1.36114,1.3633,91096,
2014.05.28,0:00,1.36328,1.36367,1.35874,1.35915,88413,
2014.05.29,0:00,1.35915,1.36246,1.3585,1.36012,87439,
2014.05.30,0:00,1.36013,1.3649,1.35974,1.36329,88375,
2014.06.02,0:00,1.36294,1.3635,1.35869,1.35972,91714,
2014.06.03,0:00,1.3597,1.36467,1.3585,1.36261,102582,
2014.06.04,0:00,1.36263,1.3638,1.35954,1.35992,106340,
2014.06.05,0:00,1.35994,1.36684,1.35018,1.36618,215538,
2014.06.06,0:00,1.36621,1.3676,1.36199,1.36447,127898,
2014.06.09,0:00,1.36449,1.36678,1.35813,1.35916,85319,
2014.06.10,0:00,1.35917,1.35999,1.35324,1.35436,93432,
2014.06.11,0:00,1.35436,1.3556,1.35204,1.35329,93856,
2014.06.12,0:00,1.35331,1.35709,1.35113,1.35483,104998,
2014.06.13,0:00,1.35482,1.3578,1.35198,1.35377,86850,
2014.06.16,0:00,1.3536,1.35785,1.35119,1.35713,81976,
2014.06.17,0:00,1.35714,1.3586,1.35353,1.35453,75773,
2014.06.18,0:00,1.35451,1.35969,1.35407,1.35866,102257,
2014.06.19,0:00,1.35866,1.36423,1.35831,1.36052,91083,
2014.06.20,0:00,1.36053,1.36329,1.35632,1.35978,68318,
2014.06.23,0:00,1.35942,1.36124,1.3573,1.36024,68460,
2014.06.24,0:00,1.36026,1.36267,1.35824,1.36019,88167,
2014.06.25,0:00,1.3602,1.36502,1.35995,1.36298,72281,
2014.06.26,0:00,1.36295,1.36403,1.35746,1.36112,74540,
2014.06.27,0:00,1.36112,1.36488,1.36088,1.36483,62554,
2014.06.30,0:00,1.36441,1.36968,1.36393,1.36921,59043,
2014.07.01,0:00,1.36922,1.36995,1.36745,1.36784,52974,
2014.07.02,0:00,1.36784,1.36816,1.36412,1.36562,49207,
2014.07.03,0:00,1.36562,1.36632,1.3595,1.36077,63530,
2014.07.04,0:00,1.36079,1.361,1.35844,1.35934,29115,
2014.07.07,0:00,1.35917,1.36081,1.35748,1.36046,40338,
2014.07.08,0:00,1.36046,1.36162,1.3587,1.3611,44774,
2014.07.09,0:00,1.36109,1.36474,1.36013,1.36394,61297,
2014.07.10,0:00,1.36395,1.36496,1.35884,1.36055,58941,
2014.07.11,0:00,1.36057,1.36237,1.35907,1.36068,49346,
2014.07.14,0:00,1.3604,1.36392,1.35963,1.36198,58715,
2014.07.15,0:00,1.36197,1.3627,1.35608,1.35669,104184,
2014.07.16,0:00,1.35669,1.35702,1.35198,1.35244,70483,
2014.07.17,0:00,1.35244,1.35393,1.35154,1.35253,69095,
2014.07.18,0:00,1.35254,1.35348,1.34897,1.35236,82692,
2014.07.21,0:00,1.35285,1.35479,1.35119,1.35219,52956,
2014.07.22,0:00,1.35218,1.35286,1.34576,1.3465,75057,
2014.07.23,0:00,1.3465,1.34731,1.34538,1.34616,52475,
2014.07.24,0:00,1.34616,1.34839,1.34367,1.34614,64509,
